code,time,title,file_name,href,direct_link
600253,2003-05-29,天方药业：2002年度分红派息实施公告,10718372,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10718372&announcementTime=2003-05-29%2005:49,static.cninfo.com.cn/finalpage/2003-05-29/10718372.PDF
600253,2003-04-24,天方药业：第二届董事会第七次会议决议公告,10627802,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10627802&announcementTime=2003-04-24%2005:35,static.cninfo.com.cn/finalpage/2003-04-24/10627802.PDF
600253,2003-04-24,天方药业：天方药业2003年第一季度报告,10623929,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10623929&announcementTime=2003-04-24%2005:29,static.cninfo.com.cn/finalpage/2003-04-24/10623929.PDF
600253,2003-04-23,天方药业：2002年度股东大会决议公告,10616346,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10616346&announcementTime=2003-04-23%2005:54,static.cninfo.com.cn/finalpage/2003-04-23/10616346.PDF
600253,2003-04-02,天方药业：天方药业2002年度股东大会会议资料,10431497,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10431497&announcementTime=2003-04-02%2005:01,static.cninfo.com.cn/finalpage/2003-04-02/10431497.PDF
600253,2003-02-14,天方药业：第二届董事会第六次会议,10137851,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10137851&announcementTime=2003-02-14%2005:46,static.cninfo.com.cn/finalpage/2003-02-14/10137851.PDF
600253,2003-02-14,天方药业：天方药业2002年年度报告摘要,10136390,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10136390&announcementTime=2003-02-14%2005:25,static.cninfo.com.cn/finalpage/2003-02-14/10136390.PDF
600253,2003-02-14,天方药业：天方药业2002年年度报告,10136358,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10136358&announcementTime=2003-02-14%2005:15,static.cninfo.com.cn/finalpage/2003-02-14/10136358.PDF
600253,2002-11-16,天方药业：对外投资,10074540,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10074540&announcementTime=2002-11-16%2005:32,static.cninfo.com.cn/finalpage/2002-11-16/10074540.PDF
600253,2002-10-29,天方药业：天方药业2002年第三季度报告,10050004,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10050004&announcementTime=2002-10-29%2005:15,static.cninfo.com.cn/finalpage/2002-10-29/10050004.PDF
600253,2002-10-29,天方药业：2002年第三季度报告摘要,10051292,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10051292&announcementTime=2002-10-29%2005:06,static.cninfo.com.cn/finalpage/2002-10-29/10051292.PDF
600253,2002-10-23,天方药业：资本公积金转增股本实施,10031192,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=10031192&announcementTime=2002-10-23%2005:48,static.cninfo.com.cn/finalpage/2002-10-23/10031192.PDF
600253,2002-09-11,天方药业：投资事项公告,650858,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=650858&announcementTime=2002-09-11%2005:56,static.cninfo.com.cn/finalpage/2002-09-11/650858.PDF
600253,2002-08-29,天方药业：天方药业2002年度第二次临时股东大会资料,647097,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=647097&announcementTime=2002-08-29%2005:40,static.cninfo.com.cn/finalpage/2002-08-29/647097.PDF
600253,2002-08-26,天方药业：召开临时股东大会等,644602,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=644602&announcementTime=2002-08-26%2005:51,static.cninfo.com.cn/finalpage/2002-08-26/644602.PDF
600253,2002-08-26,天方药业：天方药业2002年半年度报告,643994,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=643994&announcementTime=2002-08-26%2005:18,static.cninfo.com.cn/finalpage/2002-08-26/643994.PDF
600253,2002-08-26,天方药业：2002年半年度报告摘要,644578,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=644578&announcementTime=2002-08-26%2005:13,static.cninfo.com.cn/finalpage/2002-08-26/644578.PDF
600253,2002-06-28,天方药业：天方药业股东大会会议资料,611985,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=611985&announcementTime=2002-06-28%2005:32,static.cninfo.com.cn/finalpage/2002-06-28/611985.PDF
600253,2002-05-22,天方药业：确定公司为抗艾滋病药物的定点生产企业之一,601180,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=601180&announcementTime=2002-05-22%2021:48,static.cninfo.com.cn/finalpage/2002-05-22/601180.PDF
600253,2002-05-13,天方药业：2001年度分红派息实施公告,597656,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=597656&announcementTime=2002-05-13%2021:00,static.cninfo.com.cn/finalpage/2002-05-13/597656.PDF
600253,2002-04-24,天方药业：天方药业2002年第一季度报告,578712,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=578712&announcementTime=2002-04-24%2020:19,static.cninfo.com.cn/finalpage/2002-04-24/578712.PDF
600253,2002-04-24,天方药业：2002年第一季度季度报告等,578936,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=578936&announcementTime=2002-04-24%2019:12,static.cninfo.com.cn/finalpage/2002-04-24/578936.PDF
600253,2002-04-22,天方药业：2001年度利润分配预案等,578094,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=578094&announcementTime=2002-04-22%2019:06,static.cninfo.com.cn/finalpage/2002-04-22/578094.PDF
600253,2002-03-21,天方药业：河南天方药业股份有限公司2001年年度报告摘要,555821,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=555821&announcementTime=2002-03-21%2021:58,static.cninfo.com.cn/finalpage/2002-03-21/555821.PDF
600253,2002-03-21,天方药业：天方药业2001年年度报告,555763,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=555763&announcementTime=2002-03-21%2021:53,static.cninfo.com.cn/finalpage/2002-03-21/555763.PDF
600253,2002-03-21,天方药业：2001年度利润分配预案等,556146,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=556146&announcementTime=2002-03-21%2020:11,static.cninfo.com.cn/finalpage/2002-03-21/556146.PDF
600253,2002-02-08,天方药业：通过变更部分募集资金投资项目的议案等,543587,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=543587&announcementTime=2002-02-08%2019:09,static.cninfo.com.cn/finalpage/2002-02-08/543587.PDF
600253,2002-01-07,天方药业：变更部分募集资金投资项目的议案等,534342,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=534342&announcementTime=2002-01-07%2021:49,static.cninfo.com.cn/finalpage/2002-01-07/534342.PDF
600253,2001-11-07,天方药业：天方药业2001年中期报告,515752,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=515752&announcementTime=2001-11-07%2015:54,static.cninfo.com.cn/finalpage/2001-11-07/515752.PDF
600253,2001-08-16,天方药业：河南天方药业股份有限公司第一届董事会第七次会议决议公告,508634,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=508634&announcementTime=2001-08-16%2015:59,static.cninfo.com.cn/finalpage/2001-08-16/508634.PDF
600253,2001-07-04,天方药业：河南天方药业股份有限公司2000年度分红派息实施公告,508626,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=508626&announcementTime=2001-07-04%2015:58,static.cninfo.com.cn/finalpage/2001-07-04/508626.PDF
600253,2001-06-30,天方药业：河南天方药业股份有限公司2001年度中期报告,514307,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=514307&announcementTime=2001-06-30%2015:40,static.cninfo.com.cn/finalpage/2001-06-30/514307.PDF
600253,2001-05-17,天方药业：南天方药业股份有限公司董事会重大事项公告,508619,http://www.cninfo.com.cn/new/disclosure/detail?plate=sse&orgId=gssh0600253&stockCode=600253&announcementId=508619&announcementTime=2001-05-17%2015:52,static.cninfo.com.cn/finalpage/2001-05-17/508619.PDF
