code,time,title,file_name,href,count,year
002582,2023-10-12,好想你：2023年限制性股票激励计划预留授予激励对象名单（授予日）,1218014590,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014590&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：关于变更注册资本及修订《公司章程》的公告,1218014589,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014589&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：关于预计使用自有资金对外提供财务资助的公告,1218014588,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014588&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：关于回购注销2023年限制性股票激励计划首次授予部分限制性股票的公告,1218014587,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014587&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：关于向2023年限制性股票激励计划激励对象授予预留限制性股票的公告,1218014586,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014586&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：第五届监事会第十二次会议决议公告,1218014585,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014585&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：公司章程（2023年10月）,1218014582,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014582&announcementTime=2023-10-12,0,2023
002582,2023-10-12,好想你：关于召开2023年第三次临时股东大会的通知,1218014581,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1218014581&announcementTime=2023-10-12,0,2023
002582,2023-09-11,好想你：关于2023年限制性股票激励计划首次授予登记完成的公告-20230908,1217812108,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217812108&announcementTime=2023-09-11,0,2023
002582,2023-08-31,好想你：关于会计政策变更的公告,1217716429,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716429&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：2023年半年度财务报告,1217716428,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716428&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：半年报董事会决议公告,1217716427,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716427&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：独立董事关于控股股东及其他关联方占用公司资金、公司对外担保情况的专项说明和独立意见,1217716426,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716426&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：半年度非经营性资金占用及其他关联资金往来情况汇总表,1217716425,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716425&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：2023年半年度报告,1217716424,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716424&announcementTime=2023-08-31,0,2023
002582,2023-08-31,好想你：2023年半年度报告摘要,1217716423,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217716423&announcementTime=2023-08-31,0,2023
002582,2023-07-24,好想你：关于2023年限制性股票激励计划首次授予的部分限制性股票授予登记完成的公告,1217359455,http://www.cninfo.com.cn/new/disclosure/detail?plate=szse&orgId=9900019704&stockCode=002582&announcementId=1217359455&announcementTime=2023-07-24,0,2023
