code,year,count
002582,2011,0
002582,2012,0
002582,2013,0
002582,2014,0
002582,2015,0
002582,2016,13
002582,2017,10
002582,2018,11
002582,2019,16
002582,2020,18
002582,2021,26
002582,2022,15
002582,2023,0
002582,2024,0
